Object_ID,County,Municipality,GIS_Acres
8289,Atlantic,Buena Vista Township,75.06786132
8767,Atlantic,Buena Vista Township,0.68557859
8968,Atlantic,Buena Vista Township,0.26699148
8986,Atlantic,Buena Vista Township,11.57919409
8995,Atlantic,Buena Vista Township,39.54476124
9259,Atlantic,Buena Vista Township,18.94980325
9376,Atlantic,Buena Vista Township,15.6811822
9386,Atlantic,Buena Vista Township,0.32979795
9793,Atlantic,Buena Vista Township,28.8805927
10037,Atlantic,Buena Vista Township,24.31851312
10254,Atlantic,Buena Vista Township,0.24536445
10270,Atlantic,Buena Vista Township,0.33749321
10805,Atlantic,Buena Vista Township,0.34563152
10806,Atlantic,Buena Vista Township,1.1645353
10818,Atlantic,Buena Vista Township,50.82509484
10982,Atlantic,Buena Vista Township,0.17337066
11001,Atlantic,Buena Vista Township,0.37969915
11612,Atlantic,Buena Vista Township,0.34336128
11731,Atlantic,Buena Vista Township,0.2382979
11747,Atlantic,Buena Vista Township,0.26635553
11760,Atlantic,Buena Vista Township,0.35395236
11817,Atlantic,Buena Vista Township,0.25966059
11934,Atlantic,Buena Vista Township,1.54716005
11935,Atlantic,Buena Vista Township,0.53011728
12136,Atlantic,Buena Vista Township,0.34452286
12305,Atlantic,Buena Vista Township,9.79796908
12611,Atlantic,Buena Vista Township,0.25896444
12825,Atlantic,Buena Vista Township,0.34567144
12857,Atlantic,Buena Vista Township,0.24965134
12980,Atlantic,Buena Vista Township,0.54270711
13398,Atlantic,Buena Vista Township,0.25593399
13811,Atlantic,Buena Vista Township,4.81114251
14055,Atlantic,Buena Vista Township,0.99004355
14181,Atlantic,Buena Vista Township,0.51060691
14191,Atlantic,Buena Vista Township,0.26239134
14352,Atlantic,Buena Vista Township,0.23691926
14514,Atlantic,Buena Vista Township,0.48887154
14688,Atlantic,Buena Vista Township,1.14345486
14732,Atlantic,Buena Vista Township,0.35928163
14765,Atlantic,Buena Vista Township,0.70379455
14836,Atlantic,Buena Vista Township,0.31611623
14948,Atlantic,Buena Vista Township,0.27858628
15009,Atlantic,Buena Vista Township,0.32672065
15137,Atlantic,Buena Vista Township,0.26408233
15325,Atlantic,Buena Vista Township,0.69944448
15545,Atlantic,Buena Vista Township,0.26258383
