,,,,,Area,,,,,Density,,,,,Census Population,,,,,Estimated Population,,,,,% Change,,,,,Population 25+,,,,,College Grads,,,,,% College Grads,,,,,Foreign Born,,,,,% Foreign Born,,,,,African American,,,,,% African American,,,,,Asian,,,,,% Asian,,,,,Hispanic,,,,,% Hispanic,,,,,# Age 0-5,,,,,% Age 0-5,,,,,Age 65+,,,,,% Age 65+,,,,,TANF Children,,,,,TANF %,,,,,SNAP Beneficiaries,,,,,% SNAP Beneficiaries,,,,,Violent Crimes,,,,,Non-Violent Crimes,,,,,Workforce,,,,,Unemployed,,,,,% Unemployed,,,,,Median Rent ($),,,,,Average Residential Property Value ($),,,,,Taxable Property Value ($),,,,,Income Per Taxpayer ($),,,,,No.of Taxpayers and Dependents,,,,,Municipal Budget per Capita ($),,,,,Municipal Budget ($),,,,,Property Tax as % Income,,,,,County Government Tax Rate (%),,,,,Municipal Tax Rate (%),,,,,School Tax Rate (%),,,,,Registered Voters,,,,,Registered Voters as % of Population,,,,,% Democrats,,,,,% Republicans,,,,,Voter Turnout (%),,,,,Governor DEM,,,,,Governor REP,,,,,State Senate DEM,,,,,State Senate REP,,,,,General Assembly DEM 1,,,,,General Assembly DEM 2,,,,,General Assembly REP 1,,,,,General Assembly REP 2,,,,,President DEM,,,,,President REP,,,,,US Senate DEM,,,,,US Senate REP,,,,,Congress DEM,,,,,Congress REP,,,,
Bergen,Saddle River,258,39,5,4.92,4.92,4.92,4.92,4.92,663,650,645,641,NULL,3152,3152,3152,3372,3372,3262,3197,3173,3155,NULL,3.49,1.43,0.67,-6.44,NULL,2507,2467,2450,NULL,NULL,1569,1549,1632,NULL,NULL,62.58,62.79,66.61,NULL,NULL,750,852,769,NULL,NULL,23.09,31.57,24.09,NULL,NULL,66,66,66,65,65,2.09,2.09,2.09,1.93,1.93,297,297,297,451,451,9.42,9.42,9.42,13.37,13.37,162,162,162,181,181,5.14,5.14,5.14,5.37,5.37,113,113,113,NULL,NULL,3.59,3.59,3.59,NULL,NULL,771,771,771,NULL,NULL,24.46,24.46,24.46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,38,22,28,31,32,1.17,0.67,0.88,0.98,1.01,0,0,0,3,NULL,19,29,4,23,NULL,1476,1441,1469,1421,NULL,38,33,34,100,NULL,2.57,2.29,2.31,7.04,NULL,1586,1736,1804,NULL,NULL,1816780,1806952,1859178,1829544,NULL,2456768183,2455846610,2527460312,2488598258,NULL,335679.41,NULL,NULL,NULL,NULL,2909,NULL,NULL,NULL,NULL,4120,4117,4401,4502,NULL,13438192,13162116,13963591,14202862,0,2.04,NULL,NULL,NULL,NULL,0.26,0.25,0.24,0.25,NULL,0.35,0.35,0.35,0.37,NULL,0.34,0.35,0.35,0.37,NULL,2637,2707,9883,3149,NULL,80.84,84.67,311.47,99.81,NULL,12.43,12.97,13.38,15.48,NULL,57.01,58.07,56.52,53.73,NULL,37.69,60.92,26.1,74.37,NULL,254,NULL,NULL,NULL,NULL,721,NULL,NULL,NULL,NULL,235,NULL,NULL,NULL,NULL,713,NULL,NULL,NULL,NULL,229,NULL,168,NULL,NULL,230,NULL,170,NULL,NULL,690,NULL,783,NULL,NULL,682,NULL,736,NULL,NULL,NULL,NULL,NULL,868,NULL,NULL,NULL,NULL,1427,NULL,NULL,450,NULL,803,NULL,NULL,1155,NULL,1450,NULL,NULL,552,NULL,806,NULL,NULL,1046,NULL,1455,NULL
Bergen,South Hackensack,259,36,9,0.72,0.72,0.72,0.72,0.72,3461,3425,3382,3365,NULL,2378,2378,2378,2701,2701,2492,2466,2435,2423,NULL,4.79,3.7,2.4,-10.29,NULL,1914,1854,1767,NULL,NULL,282,347,379,NULL,NULL,14.73,18.72,21.45,NULL,NULL,1083,1013,938,NULL,NULL,39.48,2.5,35.73,NULL,NULL,127,127,127,135,135,5.34,5.34,5.34,5,5,126,126,126,172,172,5.3,5.3,5.3,6.37,6.37,792,792,792,1256,1256,33.31,33.31,33.31,46.5,46.5,150,150,150,NULL,NULL,6.31,6.31,6.31,NULL,NULL,379,379,379,NULL,NULL,15.94,15.94,15.94,NULL,NULL,4,1,NULL,NULL,3,0.16,0.04,NULL,NULL,0.12,177,151,130,149,187,7.21,6.06,5.27,6.12,7.72,10,6,4,9,NULL,65,63,6,68,NULL,1320,1295,1328,1347,NULL,62,55,52,178,NULL,4.7,4.25,3.92,13.21,NULL,1457,1449,1551,NULL,NULL,385227,366722,330824,404185,NULL,688722346,653905513,610476585,752491771,NULL,27244.73,NULL,NULL,NULL,NULL,2256,NULL,NULL,NULL,NULL,3648,3903,4099,4155,NULL,9089953,9625695,9981822,10066343,0,7.21,NULL,NULL,NULL,NULL,0.24,0.25,0.26,0.21,NULL,1.05,1.13,1.28,1.05,NULL,1.14,1.22,1.36,1.13,NULL,1417,1407,1516,1595,NULL,56.86,57.06,62.26,65.83,NULL,33.4,35.2,36.88,36.3,NULL,19.44,18.95,19.04,18.9,NULL,39.38,55.65,22.16,68.78,NULL,340,NULL,NULL,NULL,NULL,190,NULL,NULL,NULL,NULL,320,NULL,NULL,NULL,NULL,165,NULL,NULL,NULL,NULL,307,NULL,191,NULL,NULL,309,NULL,185,NULL,NULL,162,NULL,106,NULL,NULL,142,NULL,106,NULL,NULL,NULL,NULL,NULL,575,NULL,NULL,NULL,NULL,487,NULL,NULL,439,NULL,577,NULL,NULL,293,NULL,423,NULL,NULL,460,NULL,576,NULL,NULL,249,NULL,411,NULL
Bergen,Teaneck,260,37,5,6.01,6.01,6.01,6.04,6.04,6874,6759,6703,6696,NULL,39776,39776,39776,41246,41246,41311,40619,40284,40446,NULL,3.86,2.12,1.28,-1.94,NULL,26704,26491,25983,NULL,NULL,14913,15079,14427,NULL,NULL,55.85,56.92,55.52,NULL,NULL,9184,9176,9353,NULL,NULL,22.41,62.48,23.12,NULL,NULL,11013,11013,11013,9180,9180,27.69,27.69,27.69,22.26,22.26,3622,3622,3622,4378,4378,9.11,9.11,9.11,10.61,10.61,6575,6575,6575,8848,8848,16.53,16.53,16.53,21.45,21.45,2622,2622,2622,NULL,NULL,6.59,6.59,6.59,NULL,NULL,5906,5906,5906,NULL,NULL,14.85,14.85,14.85,NULL,NULL,36,19,25,21,21,0.09,0.05,0.06,0.05,0.05,1797,1586,1454,1335,1631,4.38,3.84,3.58,3.31,4.03,55,45,14,51,NULL,390,419,102,398,NULL,20327,19789,20148,19701,NULL,788,667,605,1715,NULL,3.88,3.37,3,8.71,NULL,1403,1421,1483,NULL,NULL,421108,442625,466733,474135,NULL,5562276534,5835196919,6197165169,6325239627,NULL,57500.91,NULL,NULL,NULL,NULL,35583,NULL,NULL,NULL,NULL,1709,1734,1790,1795,NULL,70596987,70418614,72095631,72611080,0,6.46,NULL,NULL,NULL,NULL,0.25,0.23,0.23,0.25,NULL,0.96,0.92,0.87,0.86,NULL,1.59,1.56,1.49,1.49,NULL,26669,26860,29684,31500,NULL,64.56,66.13,73.69,77.88,NULL,54.14,53.94,53.98,55.06,NULL,11.52,11.85,12.21,12.47,NULL,40.84,64.97,26.64,74.68,NULL,8580,NULL,NULL,NULL,NULL,2050,NULL,NULL,NULL,NULL,8642,NULL,NULL,NULL,NULL,1544,NULL,NULL,NULL,NULL,8186,NULL,5608,NULL,NULL,8166,NULL,5557,NULL,NULL,1647,NULL,1324,NULL,NULL,1655,NULL,1249,NULL,NULL,NULL,NULL,NULL,16737,NULL,NULL,NULL,NULL,6141,NULL,NULL,13101,NULL,16393,NULL,NULL,3516,NULL,5824,NULL,NULL,13700,NULL,17434,NULL,NULL,2771,NULL,4599,NULL
Bergen,Tenafly,261,37,9,4.6,4.6,4.6,4.59,4.59,3239,3183,3142,3116,NULL,14488,14488,14488,15409,15409,14900,14641,14453,14304,NULL,2.84,1.06,-0.24,-7.17,NULL,9149,8885,9018,NULL,NULL,7244,7241,7364,NULL,NULL,79.18,81.5,81.66,NULL,NULL,5150,5283,5122,NULL,NULL,34.61,4937.38,35.01,NULL,NULL,128,128,128,240,240,0.88,0.88,0.88,1.56,1.56,3799,3799,3799,4711,4711,26.22,26.22,26.22,30.57,30.57,776,776,776,1137,1137,5.36,5.36,5.36,7.38,7.38,728,728,728,NULL,NULL,5.02,5.02,5.02,NULL,NULL,1953,1953,1953,NULL,NULL,13.48,13.48,13.48,NULL,NULL,NULL,1,1,1,1,NULL,0.01,0.01,0.01,0.01,124,127,96,111,143,0.84,0.85,0.66,0.77,1,1,4,1,5,NULL,65,37,14,0,NULL,6474,6281,6411,6152,NULL,190,154,153,420,NULL,2.93,2.45,2.39,6.83,NULL,1717,1807,2271,NULL,NULL,926028,938702,972155,956287,NULL,4516313629,4577782888,4739059123,4656311694,NULL,222216.83,NULL,NULL,NULL,NULL,13868,NULL,NULL,NULL,NULL,1965,2038,2121,2173,NULL,29278039,29838668,30661681,31086304,0,2.84,NULL,NULL,NULL,NULL,0.25,0.24,0.24,0.25,NULL,0.5,0.49,0.48,0.5,NULL,1.42,1.44,1.42,1.47,NULL,9050,9061,10065,10735,NULL,60.74,61.89,69.64,75.05,NULL,38.99,39.79,40.88,42.53,NULL,15.32,15.4,15.42,15.1,NULL,37.1,62.04,35.1,74.91,NULL,2277,NULL,NULL,NULL,NULL,1009,NULL,NULL,NULL,NULL,2326,NULL,NULL,NULL,NULL,875,NULL,NULL,NULL,NULL,2187,NULL,2057,NULL,NULL,2236,NULL,2087,NULL,NULL,870,NULL,836,NULL,NULL,883,NULL,821,NULL,NULL,NULL,NULL,NULL,5635,NULL,NULL,NULL,NULL,2226,NULL,NULL,3622,NULL,5330,NULL,NULL,1787,NULL,2363,NULL,NULL,3888,NULL,5249,NULL,NULL,1482,NULL,2335,NULL
Bergen,Teterboro,262,36,9,1.16,1.16,1.16,1.11,1.11,59,59,59,60,NULL,67,67,67,61,61,69,68,68,67,NULL,2.99,1.49,1.49,9.84,NULL,75,69,73,NULL,NULL,5,5,2,NULL,NULL,6.67,7.25,2.74,NULL,NULL,30,38,35,NULL,NULL,27.78,0.46,34.31,NULL,NULL,3,3,3,7,7,4.48,4.48,4.48,11.48,11.48,2,2,2,1,1,2.99,2.99,2.99,1.64,1.64,24,24,24,25,25,35.82,35.82,35.82,40.98,40.98,6,6,6,NULL,NULL,8.96,8.96,8.96,NULL,NULL,9,9,9,NULL,NULL,13.43,13.43,13.43,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1.45,NULL,NULL,NULL,15,22,18,19,22,21.74,31.88,26.47,27.94,32.84,5,1,0,0,NULL,123,137,21,89,NULL,38,35,37,41,NULL,3,1,1,8,NULL,7.89,2.86,2.7,19.51,NULL,1453,1396,1575,NULL,NULL,169171,172634,170086,177349,NULL,411946198,416571336,443203403,452746773,NULL,70597.54,NULL,NULL,NULL,NULL,52,NULL,NULL,NULL,NULL,74530,81171,86900,89766,NULL,5142586,5519640,5909207,6014297,0,0.93,NULL,NULL,NULL,NULL,0.29,0.29,0.27,0.27,NULL,0.83,0.86,0.87,0.85,NULL,0.04,0.05,0.05,0.04,NULL,34,36,39,42,NULL,49.28,52.94,57.35,62.69,NULL,36.84,37.5,38.46,33.33,NULL,23.68,25,25.64,26.19,NULL,50,55.56,10.26,66.67,NULL,9,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,7,NULL,1,NULL,NULL,7,NULL,1,NULL,NULL,6,NULL,3,NULL,NULL,7,NULL,3,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,16,NULL,NULL,10,NULL,13,NULL,NULL,9,NULL,13,NULL,NULL,9,NULL,13,NULL,NULL,9,NULL,12,NULL
Bergen,Upper Saddle River,263,39,5,5.26,5.26,5.26,5.25,5.25,1600,1572,1560,1553,NULL,8208,8208,8208,8353,8353,8415,8270,8205,8155,NULL,2.52,0.76,-0.04,-2.37,NULL,5154,5162,5261,NULL,NULL,3520,3289,3432,NULL,NULL,68.3,63.72,65.23,NULL,NULL,1471,1568,1466,NULL,NULL,17.64,15.76,17.82,NULL,NULL,118,118,118,129,129,1.44,1.44,1.44,1.54,1.54,828,828,828,1240,1240,10.09,10.09,10.09,14.84,14.84,355,355,355,579,579,4.33,4.33,4.33,6.93,6.93,417,417,417,NULL,NULL,5.08,5.08,5.08,NULL,NULL,1078,1078,1078,NULL,NULL,13.13,13.13,13.13,NULL,NULL,NULL,NULL,NULL,2,2,NULL,NULL,NULL,0.02,0.02,53,47,48,50,50,0.64,0.56,0.58,0.61,0.61,2,0,0,1,NULL,18,25,8,34,NULL,3964,3865,3942,3803,NULL,120,91,87,253,NULL,3.03,2.35,2.21,6.65,NULL,2440,2451,2859,NULL,NULL,964588,950262,943746,933802,NULL,2752324978,2737335817,2729809767,2701901468,NULL,128531.16,NULL,NULL,NULL,NULL,7943,NULL,NULL,NULL,NULL,1432,1493,1581,1652,NULL,12050186,12346052,12970085,13474265,0,4.43,NULL,NULL,NULL,NULL,0.25,0.25,0.24,0.25,NULL,0.28,0.3,0.31,0.34,NULL,1.32,1.35,1.37,1.4,NULL,5987,6055,6652,7072,NULL,71.15,73.22,81.07,86.72,NULL,20.81,21.43,22.29,24.75,NULL,32.2,32.33,34.69,33.8,NULL,38.23,63.85,37.84,77.73,NULL,907,NULL,NULL,NULL,NULL,1340,NULL,NULL,NULL,NULL,824,NULL,NULL,NULL,NULL,1347,NULL,NULL,NULL,NULL,836,NULL,844,NULL,NULL,813,NULL,849,NULL,NULL,1303,NULL,1511,NULL,NULL,1337,NULL,1436,NULL,NULL,NULL,NULL,NULL,2677,NULL,NULL,NULL,NULL,2675,NULL,NULL,1556,NULL,2540,NULL,NULL,2178,NULL,2785,NULL,NULL,1840,NULL,2579,NULL,NULL,1896,NULL,2756,NULL
Bergen,Waldwick,264,40,5,2.07,2.07,2.07,2.05,2.05,4875,4931,4883,5005,NULL,9625,9625,9625,10058,10058,10092,10207,10108,10261,NULL,4.85,6.05,5.02,2.02,NULL,6910,6839,6922,NULL,NULL,3559,3591,3676,NULL,NULL,51.51,52.51,53.11,NULL,NULL,1544,1328,1303,NULL,NULL,15.46,11.47,13.05,NULL,NULL,104,104,104,126,126,1.08,1.08,1.08,1.25,1.25,480,480,480,640,640,4.99,4.99,4.99,6.36,6.36,830,830,830,1315,1315,8.62,8.62,8.62,13.07,13.07,628,628,628,NULL,NULL,6.52,6.52,6.52,NULL,NULL,1395,1395,1395,NULL,NULL,14.49,14.49,14.49,NULL,NULL,2,NULL,NULL,NULL,NULL,0.02,NULL,NULL,NULL,NULL,102,94,106,84,113,1.02,0.93,1.04,0.83,1.1,3,2,2,2,NULL,64,47,5,56,NULL,5428,5296,5528,5401,NULL,188,172,141,451,NULL,3.46,3.25,2.55,8.35,NULL,1905,2006,2006,NULL,NULL,424015,434410,442281,451316,NULL,1607303628,1662020108,1693488407,1727291771,NULL,46209.69,NULL,NULL,NULL,NULL,9309,NULL,NULL,NULL,NULL,1380,1382,1395,1420,NULL,13930395,14104525,14103728,14571331,0,8.14,NULL,NULL,NULL,NULL,0.25,0.24,0.24,0.24,NULL,0.52,0.5,0.49,0.48,NULL,1.81,1.8,1.85,1.81,NULL,6652,6762,7351,7783,NULL,65.91,66.25,72.72,75.85,NULL,25.68,26.36,27.07,29.03,NULL,27.18,27.47,27.6,27.99,NULL,46.14,67.94,39.68,80.84,NULL,1493,NULL,NULL,NULL,NULL,1470,NULL,NULL,NULL,NULL,1373,NULL,NULL,NULL,NULL,1460,NULL,NULL,NULL,NULL,1384,NULL,1085,NULL,NULL,1421,NULL,1144,NULL,NULL,1394,NULL,1604,NULL,NULL,1352,NULL,1532,NULL,NULL,NULL,NULL,NULL,3161,NULL,NULL,NULL,NULL,2965,NULL,NULL,1977,NULL,3079,NULL,NULL,2327,NULL,2922,NULL,NULL,2415,NULL,3136,NULL,NULL,1964,NULL,2898,NULL
Bergen,Wallington,265,36,9,0.98,0.98,0.98,0.99,0.99,12021,11828,11730,11691,NULL,11335,11335,11335,11868,11868,11781,11591,11495,11574,NULL,3.93,2.26,1.41,-2.48,NULL,8728,8814,8751,NULL,NULL,2434,2689,2813,NULL,NULL,27.89,30.51,32.14,NULL,NULL,4958,5163,4960,NULL,NULL,42.37,55.86,42.98,NULL,NULL,366,366,366,320,320,3.23,3.23,3.23,2.7,2.7,631,631,631,694,694,5.57,5.57,5.57,5.85,5.85,1225,1225,1225,2299,2299,10.81,10.81,10.81,19.37,19.37,669,669,669,NULL,NULL,5.9,5.9,5.9,NULL,NULL,1530,1530,1530,NULL,NULL,13.5,13.5,13.5,NULL,NULL,5,3,5,2,4,0.04,0.03,0.04,0.02,0.03,618,511,501,435,562,5.29,4.34,4.32,3.78,4.86,6,5,1,11,NULL,141,120,16,133,NULL,6302,6137,6253,6258,NULL,319,278,262,745,NULL,5.06,4.53,4.19,11.9,NULL,1189,1232,1237,NULL,NULL,343401,356734,376660,395860,NULL,1050027574,1089666723,1150826067,1214774442,NULL,29093.59,NULL,NULL,NULL,NULL,10280,NULL,NULL,NULL,NULL,1011,1097,1158,2640,NULL,11912062,12713489,13313208,30549699,0,6.63,NULL,NULL,NULL,NULL,0.24,0.24,0.23,0.24,NULL,0.81,0.8,0.79,0.8,NULL,1.55,1.51,1.43,1.38,NULL,5606,5636,6314,6887,NULL,47.59,48.62,54.93,59.5,NULL,31.94,31.9,32.24,31.91,NULL,17.32,18.25,19.13,20.09,NULL,40.12,55.94,33.43,70.95,NULL,957,NULL,NULL,NULL,NULL,1087,NULL,NULL,NULL,NULL,1033,NULL,NULL,NULL,NULL,930,NULL,NULL,NULL,NULL,911,NULL,837,NULL,NULL,908,NULL,826,NULL,NULL,959,NULL,1034,NULL,NULL,946,NULL,996,NULL,NULL,NULL,NULL,NULL,1999,NULL,NULL,NULL,NULL,2772,NULL,NULL,1345,NULL,2074,NULL,NULL,1573,NULL,2445,NULL,NULL,1531,NULL,2119,NULL,NULL,1325,NULL,2376,NULL
Bergen,Washington Twp,266,39,5,2.91,2.91,2.91,2.95,2.95,3228,3177,3153,3099,NULL,9102,9102,9102,9285,9285,9393,9246,9176,9142,NULL,3.2,1.58,0.81,-1.54,NULL,6590,6463,6590,NULL,NULL,3594,3525,3724,NULL,NULL,54.54,54.54,56.51,NULL,NULL,1394,1242,1130,NULL,NULL,14.88,11.14,12.23,NULL,NULL,98,98,98,87,87,1.08,1.08,1.08,0.94,0.94,589,589,589,566,566,6.47,6.47,6.47,6.1,6.1,495,495,495,800,800,5.44,5.44,5.44,8.62,8.62,491,491,491,NULL,NULL,5.39,5.39,5.39,NULL,NULL,1815,1815,1815,NULL,NULL,19.94,19.94,19.94,NULL,NULL,1,NULL,NULL,NULL,NULL,0.01,NULL,NULL,NULL,NULL,81,72,56,51,76,0.87,0.77,0.61,0.56,0.83,3,0,1,3,NULL,15,29,4,19,NULL,4744,4604,4688,4607,NULL,182,154,134,414,NULL,3.84,3.34,2.86,8.99,NULL,2283,2221,NULL,NULL,NULL,513255,515318,523906,531470,NULL,1794205026,1801336795,1829706425,1856469214,NULL,56860.58,NULL,NULL,NULL,NULL,8790,NULL,NULL,NULL,NULL,1295,1427,1465,1494,NULL,12167943,13193879,13445299,13654886,0,6.87,NULL,NULL,NULL,NULL,0.24,0.24,0.24,0.25,NULL,0.47,0.46,0.5,0.51,NULL,1.36,1.39,1.38,1.39,NULL,6821,6886,7333,7746,NULL,72.62,74.48,79.91,84.73,NULL,22.73,23.24,23.78,25.84,NULL,37.7,37.33,36.87,36.3,NULL,49.98,65.57,33.57,82,NULL,1397,NULL,NULL,NULL,NULL,1863,NULL,NULL,NULL,NULL,1190,NULL,NULL,NULL,NULL,1854,NULL,NULL,NULL,NULL,1187,NULL,843,NULL,NULL,1188,NULL,942,NULL,NULL,1782,NULL,1484,NULL,NULL,1840,NULL,1328,NULL,NULL,NULL,NULL,NULL,2910,NULL,NULL,NULL,NULL,3317,NULL,NULL,1788,NULL,2860,NULL,NULL,2505,NULL,3264,NULL,NULL,2160,NULL,2908,NULL,NULL,2135,NULL,3215,NULL
Bergen,Westwood,267,39,5,2.27,2.27,2.27,2.26,2.26,4989,4914,4880,4877,NULL,10908,10908,10908,11282,11282,11326,11155,11078,11023,NULL,3.83,2.26,1.56,-2.3,NULL,7901,7932,8041,NULL,NULL,3980,4049,4155,NULL,NULL,50.37,51.05,51.67,NULL,NULL,2600,2359,2368,NULL,NULL,23.12,40.56,21.3,NULL,NULL,504,504,504,448,448,4.62,4.62,4.62,3.97,3.97,805,805,805,928,928,7.38,7.38,7.38,8.23,8.23,1263,1263,1263,1651,1651,11.58,11.58,11.58,14.63,14.63,691,691,691,NULL,NULL,6.33,6.33,6.33,NULL,NULL,1810,1810,1810,NULL,NULL,16.59,16.59,16.59,NULL,NULL,2,2,NULL,6,4,0.02,0.02,NULL,0.05,0.04,311,261,234,268,295,2.77,2.3,2.1,2.42,2.68,9,11,0,0,NULL,49,57,18,56,NULL,5987,5853,5944,5825,NULL,215,201,158,493,NULL,3.59,3.43,2.66,8.46,NULL,1687,1748,1757,NULL,NULL,438444,465712,453671,459467,NULL,2006335437,2156697040,2105727630,2138325170,NULL,47248.12,NULL,NULL,NULL,NULL,9906,NULL,NULL,NULL,NULL,1644,1735,1791,1806,NULL,18616300,19353465,19839839,19906799,0,7.13,NULL,NULL,NULL,NULL,0.24,0.22,0.24,0.24,NULL,0.73,0.69,0.71,0.7,NULL,1.35,1.29,1.39,1.42,NULL,7246,7331,8099,8551,NULL,63.98,65.72,73.11,77.57,NULL,32.94,33.48,33.93,35.24,NULL,28.01,27.94,27.93,27.36,NULL,48.05,69.5,42.98,80.26,NULL,1835,NULL,NULL,NULL,NULL,1528,NULL,NULL,NULL,NULL,1686,NULL,NULL,NULL,NULL,1562,NULL,NULL,NULL,NULL,1663,NULL,1626,NULL,NULL,1659,NULL,1872,NULL,NULL,1505,NULL,1697,NULL,NULL,1600,NULL,1474,NULL,NULL,NULL,NULL,NULL,3762,NULL,NULL,NULL,NULL,2907,NULL,NULL,2465,NULL,3677,NULL,NULL,2297,NULL,2840,NULL,NULL,2942,NULL,3706,NULL,NULL,1928,NULL,2847,NULL
Bergen,Wood-Ridge,269,36,9,1.1,1.1,1.1,1.11,1.11,8198,8326,8449,8364,NULL,7626,7626,7626,10137,10137,9018,9159,9294,9284,NULL,18.25,20.1,21.87,-8.41,NULL,5946,5956,6107,NULL,NULL,2249,2477,2917,NULL,NULL,37.82,41.59,47.76,NULL,NULL,1573,1662,1832,NULL,NULL,18.84,9.75,20.89,NULL,NULL,109,109,109,337,337,1.43,1.43,1.43,3.32,3.32,544,544,544,1617,1617,7.13,7.13,7.13,15.95,15.95,1000,1000,1000,1738,1738,13.11,13.11,13.11,17.15,17.15,376,376,376,NULL,NULL,4.93,4.93,4.93,NULL,NULL,1123,1123,1123,NULL,NULL,14.73,14.73,14.73,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,0.02,NULL,NULL,257,246,253,213,246,2.99,2.73,2.76,2.29,2.65,3,7,0,2,NULL,67,83,11,48,NULL,4948,5015,5254,5291,NULL,199,177,147,482,NULL,4.02,3.53,2.8,9.11,NULL,1686,1670,1779,NULL,NULL,360320,396437,400311,422943,NULL,1309364880,1474354960,1502911397,1588001371,NULL,43244.85,NULL,NULL,NULL,NULL,8069,NULL,NULL,NULL,NULL,2091,2158,2164,2225,NULL,18855240,19765223,20112385,20654334,0,6.97,NULL,NULL,NULL,NULL,0.24,0.23,0.24,0.24,NULL,0.94,0.88,0.9,0.89,NULL,1.34,1.23,1.26,1.22,NULL,5839,6027,6622,7157,NULL,64.75,65.8,71.25,77.09,NULL,34.6,35.38,35.9,37.06,NULL,18.91,19.1,19.37,19.87,NULL,48.35,63.88,28.07,79.1,NULL,1496,NULL,NULL,NULL,NULL,1161,NULL,NULL,NULL,NULL,1875,NULL,NULL,NULL,NULL,796,NULL,NULL,NULL,NULL,1601,NULL,1079,NULL,NULL,1581,NULL,1069,NULL,NULL,932,NULL,614,NULL,NULL,896,NULL,627,NULL,NULL,NULL,NULL,NULL,2895,NULL,NULL,NULL,NULL,2613,NULL,NULL,1839,NULL,2922,NULL,NULL,1799,NULL,2410,NULL,NULL,2131,NULL,2946,NULL,NULL,1426,NULL,2224,NULL
Bergen,Woodcliff Lake,268,39,5,3.41,3.41,3.41,3.38,3.38,1731,1719,1712,1726,NULL,5730,5730,5730,6128,6128,5903,5862,5839,5835,NULL,3.02,2.3,1.9,-4.78,NULL,3962,3942,3829,NULL,NULL,2896,2841,2881,NULL,NULL,73.09,72.07,75.24,NULL,NULL,684,658,560,NULL,NULL,11.66,7.73,9.6,NULL,NULL,47,47,47,46,46,0.82,0.82,0.82,0.75,0.75,371,371,371,536,536,6.47,6.47,6.47,8.75,8.75,310,310,310,407,407,5.41,5.41,5.41,6.64,6.64,282,282,282,NULL,NULL,4.92,4.92,4.92,NULL,NULL,939,939,939,NULL,NULL,16.39,16.39,16.39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,36,37,29,30,41,0.61,0.63,0.49,0.51,0.7,1,0,0,1,NULL,24,20,13,21,NULL,2937,2856,2929,2857,NULL,87,81,65,210,NULL,2.96,2.84,2.22,7.35,NULL,1878,1772,2069,NULL,NULL,744484,729284,748699,796262,NULL,1995767160,1949356349,2011032348,2156100186,NULL,114814.98,NULL,NULL,NULL,NULL,5684,NULL,NULL,NULL,NULL,2216,2259,2333,2254,NULL,13081460,13242343,13622177,13149231,0,4.32,NULL,NULL,NULL,NULL,0.25,0.25,0.24,0.23,NULL,0.5,0.52,0.51,0.48,NULL,1.33,1.38,1.37,1.31,NULL,4483,4555,4913,5185,NULL,75.94,77.7,84.14,88.86,NULL,28.9,28.97,29.49,31.79,NULL,25.48,25.74,25.98,25.37,NULL,50.59,67.49,42.93,78.34,NULL,1072,NULL,NULL,NULL,NULL,1101,NULL,NULL,NULL,NULL,1022,NULL,NULL,NULL,NULL,1048,NULL,NULL,NULL,NULL,1025,NULL,896,NULL,NULL,1013,NULL,939,NULL,NULL,1004,NULL,1085,NULL,NULL,1049,NULL,990,NULL,NULL,NULL,NULL,NULL,2323,NULL,NULL,NULL,NULL,1626,NULL,NULL,1489,NULL,2208,NULL,NULL,1467,NULL,1716,NULL,NULL,1819,NULL,2293,NULL,NULL,1165,NULL,1653,NULL
